JOB;Nome=CO1000001_01;SCATOLA=CO1000001;ODL=88-2023;
STATUS;dtCreated=20230810110428;dtUpdated=20230818103417;docsCount=5;imagesCount=714;user=leontinoa;postazione=SCANSTATION1;jobTime=03:16:16
DOC;
IMAGE;00000001.jpg
IMAGE;00000002.jpg
IMAGE;00000003.jpg
IMAGE;00000004.jpg
IMAGE;00000005.jpg
IMAGE;00000006.jpg
IMAGE;00000007.jpg
IMAGE;00000008.jpg
IMAGE;00000009.jpg
IMAGE;00000010.jpg
IMAGE;00000011.jpg
IMAGE;00000012.jpg
IMAGE;00000013.jpg
IMAGE;00000014.jpg
IMAGE;00000015.jpg
IMAGE;00000016.jpg
IMAGE;00000017.jpg
IMAGE;00000018.jpg
IMAGE;00000019.jpg
IMAGE;00000020.jpg
IMAGE;00000021.jpg
IMAGE;00000022.jpg
IMAGE;00000023.jpg
IMAGE;00000024.jpg
IMAGE;00000025.jpg
IMAGE;00000026.jpg
IMAGE;00000027.jpg
IMAGE;00000028.jpg
IMAGE;00000029.jpg
IMAGE;00000030.jpg
IMAGE;00000031.jpg
IMAGE;00000032.jpg
IMAGE;00000033.jpg
IMAGE;00000034.jpg
IMAGE;00000035.jpg
IMAGE;00000036.jpg
IMAGE;00000037.jpg
IMAGE;00000038.jpg
IMAGE;00000039.jpg
IMAGE;00000040.jpg
IMAGE;00000041.jpg
IMAGE;00000042.jpg
IMAGE;00000043.jpg
IMAGE;00000044.jpg
IMAGE;00000045.jpg
IMAGE;00000046.jpg
IMAGE;00000047.jpg
IMAGE;00000048.jpg
IMAGE;00000049.jpg
IMAGE;00000050.jpg
IMAGE;00000051.jpg
IMAGE;00000052.jpg
IMAGE;00000053.jpg
IMAGE;00000054.jpg
IMAGE;00000055.jpg
IMAGE;00000056.jpg
IMAGE;00000057.jpg
IMAGE;00000058.jpg
IMAGE;00000059.jpg
IMAGE;00000060.jpg
IMAGE;00000061.jpg
IMAGE;00000062.jpg
IMAGE;00000063.jpg
IMAGE;00000064.jpg
IMAGE;00000065.jpg
IMAGE;00000066.jpg
IMAGE;00000067.jpg
IMAGE;00000068.jpg
IMAGE;00000069.jpg
IMAGE;00000070.jpg
IMAGE;00000071.jpg
IMAGE;00000072.jpg
IMAGE;00000073.jpg
IMAGE;00000074.jpg
IMAGE;00000075.jpg
IMAGE;00000076.jpg
IMAGE;00000077.jpg
IMAGE;00000078.jpg
IMAGE;00000079.jpg
IMAGE;00000080.jpg
IMAGE;00000081.jpg
IMAGE;00000082.jpg
IMAGE;00000083.jpg
IMAGE;00000084.jpg
IMAGE;00000085.jpg
IMAGE;00000086.jpg
IMAGE;00000087.jpg
IMAGE;00000088.jpg
IMAGE;00000089.jpg
IMAGE;00000090.jpg
IMAGE;00000091.jpg
IMAGE;00000092.jpg
IMAGE;00000093.jpg
IMAGE;00000094.jpg
IMAGE;00000095.jpg
IMAGE;00000096.jpg
IMAGE;00000097.jpg
IMAGE;00000098.jpg
IMAGE;00000099.jpg
IMAGE;00000100.jpg
IMAGE;00000101.jpg
IMAGE;00000102.jpg
IMAGE;00000103.jpg
IMAGE;00000104.jpg
IMAGE;00000105.jpg
IMAGE;00000106.jpg
IMAGE;00000107.jpg
IMAGE;00000108.jpg
IMAGE;00000109.jpg
IMAGE;00000110.jpg
IMAGE;00000111.jpg
IMAGE;00000112.jpg
IMAGE;00000113.jpg
IMAGE;00000114.jpg
IMAGE;00000115.jpg
IMAGE;00000116.jpg
IMAGE;00000117.jpg
IMAGE;00000118.jpg
